Country,Adults (Thousands),Mean Wealth per Adult,Median Wealth per Adult,"Under 10,000","10,000-100,000","100,000-1 Million",Over 1 Million,wealthGini,incomeGini,Date,Year,GDP in TOT as MLN_USD,GDP in TOT as USD_CAP,INCOMEINEQ in P50P10 as RT,INCOMEINEQ in P90P10 as RT,INCOMEINEQ in P90P50 as RT,INCOMEINEQ in PALMA as RT,INCOMEINEQ in S80S20 as RT,PUBLMPEXP in EMPINCENTIVE as PC_GDP,PUBLMPEXP in INCENTIVE as PC_GDP,PUBLMPEXP in JOBCREATION as PC_GDP,PUBLMPEXP in OOWORKINCOME as PC_GDP,PUBLMPEXP in PRERET as PC_GDP,PUBLMPEXP in PUBEMPSERV as PC_GDP,PUBLMPEXP in SUPPEMP as PC_GDP,PUBLMPEXP in TOT as PC_GDP,PUBLMPEXP in TRAINING as PC_GDP,PUBUNEMPEXP in TOT as PC_GDP,SOCBENHH in INCASH as PC_GDP,SOCBENHH in INKIND as PC_GDP,SOCEXP in PRIV as PC_GDP,SOCEXP in PUB as PC_GDP,SOCEXP in PUB as USD_CAP,SOCEXP in PUBNET as PC_GDP,SOCEXP in TOTNET as PC_GDP,TAXCORP in TOT as PC_GDP,TAXCORP in TOT as PC_TOT_TAX,TAXGOODSERV in TOT as PC_GDP,TAXGOODSERV in TOT as PC_TOT_TAX,TAXINCOME in TOT as PC_GDP,TAXINCOME in TOT as PC_TOT_TAX,TAXPAYROLL in TOT as PC_GDP,TAXPAYROLL in TOT as PC_TOT_TAX,TAXPROPERTY in TOT as PC_GDP,TAXPROPERTY in TOT as PC_TOT_TAX,TAXREV in TOT as MLN_USD,TAXREV in TOT as PC_GDP,TAXSS in TOT as PC_GDP,TAXSS in TOT as PC_TOT_TAX,TAXWEDGE in TOT as PC_LC,Region,wealthTax
Luxembourg,461,358003,139789,0,40,55.1,4.9,67,NA,2019-09-29,2019,75188.8863,120979.704436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9633189467982,10.4726938924815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.429831,EU,0
Mexico,85594,31553,9944,50.2,45.2,4.4,0.2,77.7,NA,2019-09-29,2019,2603906.6139,20703.388782000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.142694,Americas,0
Netherlands,13326,279077,31057,45.1,13.4,35.3,6.2,90.2,NA,2019-09-29,2019,1032244.0895,59512.487141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2417212712009,16.5593047727298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.251019,EU,0
New Zealand,3525,304124,116437,9.3,36.8,48.8,5.2,67.2,NA,2019-09-29,2019,216114.6506,43774.488674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.774706,Oceania,0
Norway,4100,267348,70627,28.2,27,40.8,4,79.8,NA,2019-09-29,2019,357409.8838,66830.56915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.797484616945,16.4873949106318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.672659,EU,1
Poland,30598,57873,22600,26.8,62.6,10.2,0.4,67.7,NA,2019-09-29,2019,1299276.8979,33844.149463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5024551847414,9.80767572912213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.589545,EU,0
Portugal,8373,131088,44025,14.7,54.7,29.3,1.4,69.2,NA,2019-09-29,2019,374535.1364,36411.064857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3589885764525,9.48445147369213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.95624,EU,0
Slovak Republic,4340,66171,40432,0,83.2,16.6,0.2,49.8,NA,2019-09-29,2019,186409.1578,34183.168372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3792543587776,9.21255769356849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.88269,EU,0
Slovenia,1675,122508,50380,4.5,66,28.6,0.9,66.2,NA,2019-09-29,2019,84888.755,40640.182009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4164026584702,11.091601041976901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.592696,EU,0
Spain,37450,207531,95360,16.9,34.5,45.9,2.6,69.4,NA,2019-09-29,2019,1987306.9446,42192.998646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8080060642512,11.0287947541658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.486543,EU,1
Sweden,7723,265260,41582,35.8,28.9,30.5,4.8,86.7,NA,2019-09-29,2019,574077.5789,55850.169275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3234023725204,18.8303956515001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.671989,EU,0
Switzerland,6866,564653,227891,13,20.7,54.5,11.8,70.5,NA,2019-09-29,2019,608720.9145,70954.482111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.269739,EU,1
Turkey,55543,24398,6568,62.3,34.8,2.7,0.2,79.4,NA,2019-09-29,2019,2325616.8047,28269.820758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.123015,EU,0
United Kingdom,51209,280049,97452,17.4,33,44.8,4.8,74.6,NA,2019-09-29,2019,3257782.317,48745.115691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5446523706842,12.192986733415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.857401,EU,0
United States,245140,432365,65904,26.9,31,34.5,7.6,85.2,NA,2019-09-29,2019,21427700,65126.619982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.756748,Americas,0
Australia,18433,411060,191453,6.1,27.1,59.9,7,65.8,32.5,2018-09-29,2018,1342135.7475,53700.680893,2.2,4.3,2,1.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65699146384175,11.8027717093783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.889201,Oceania,0
